key,type,id,value
crossing,regular,458411574,traffic_signals
highway,regular,458411574,traffic_signals
highway,regular,458411580,mini_roundabout
highway,regular,508062190,traffic_signals
source,regular,539187590,IBGE
source,regular,539187597,IBGE
source,regular,539187600,IBGE
source,regular,539187602,IBGE
source,regular,539187604,IBGE
source,regular,539187606,IBGE
source,regular,539187609,IBGE
source,regular,539187611,IBGE
source,regular,539187613,IBGE
source,regular,539187617,IBGE
source,regular,539187618,IBGE
source,regular,539187620,IBGE
source,regular,539187621,IBGE
source,regular,539187623,IBGE
source,regular,539187625,IBGE
source,regular,539187628,IBGE
source,regular,539187630,IBGE
source,regular,539187632,IBGE
source,regular,539187634,IBGE
source,regular,539187637,IBGE
source,regular,539187651,IBGE
source,regular,539187654,IBGE
source,regular,539187656,IBGE
source,regular,539187658,IBGE
source,regular,539187698,IBGE
source,regular,539187700,IBGE
source,regular,539187703,IBGE
source,regular,539187714,IBGE
source,regular,539187727,IBGE
source,regular,539187728,IBGE
source,regular,539187729,IBGE
source,regular,539187731,IBGE
source,regular,539187733,IBGE
source,regular,539187735,IBGE
source,regular,539187737,IBGE
source,regular,539187739,IBGE
source,regular,539187741,IBGE
source,regular,539187743,IBGE
source,regular,539187745,IBGE
source,regular,539187945,IBGE
source,regular,539187946,IBGE
source,regular,539187947,IBGE
source,regular,539187948,IBGE
source,regular,539187950,IBGE
source,regular,539187951,IBGE
source,regular,539187952,IBGE
source,regular,539187953,IBGE
source,regular,539187954,IBGE
source,regular,539187955,IBGE
source,regular,539187956,IBGE
source,regular,539187957,IBGE
source,regular,539187958,IBGE
source,regular,539187973,IBGE
source,regular,539187975,IBGE
source,regular,539187976,IBGE
source,regular,539187977,IBGE
source,regular,539187978,IBGE
source,regular,539187979,IBGE
source,regular,539187980,IBGE
source,regular,539187981,IBGE
source,regular,539187982,IBGE
source,regular,539187983,IBGE
source,regular,539187984,IBGE
source,regular,539187985,IBGE
source,regular,539187986,IBGE
source,regular,539187987,IBGE
source,regular,539187991,IBGE
source,regular,539187992,IBGE
source,regular,539187993,IBGE
source,regular,539187994,IBGE
source,regular,539187995,IBGE
source,regular,539187996,IBGE
source,regular,539188015,IBGE
source,regular,539188021,IBGE
source,regular,539188022,IBGE
source,regular,539188023,IBGE
source,regular,539188024,IBGE
source,regular,539188025,IBGE
source,regular,539188026,IBGE
source,regular,539188027,IBGE
source,regular,539188028,IBGE
source,regular,539188316,IBGE
source,regular,539188319,IBGE
source,regular,539188320,IBGE
source,regular,539188336,IBGE
source,regular,539188367,IBGE
source,regular,539188368,IBGE
source,regular,539188369,IBGE
source,regular,539188370,IBGE
source,regular,539188375,IBGE
source,regular,539188376,IBGE
source,regular,539188377,IBGE
source,regular,539188378,IBGE
source,regular,539188379,IBGE
source,regular,539188380,IBGE
source,regular,539188381,IBGE
source,regular,539188388,IBGE
source,regular,539188389,IBGE
source,regular,539188390,IBGE
source,regular,539188391,IBGE
source,regular,539188392,IBGE
source,regular,539188393,IBGE
source,regular,539188394,IBGE
source,regular,539188395,IBGE
source,regular,539188396,IBGE
source,regular,539188417,IBGE
source,regular,539188465,IBGE
source,regular,539188466,IBGE
source,regular,539188467,IBGE
source,regular,539188468,IBGE
source,regular,539188469,IBGE
source,regular,539188470,IBGE
source,regular,539188471,IBGE
source,regular,539188472,IBGE
source,regular,539188473,IBGE
source,regular,539188474,IBGE
source,regular,539188475,IBGE
source,regular,539188476,IBGE
source,regular,539188477,IBGE
source,regular,539188478,IBGE
source,regular,539188479,IBGE
source,regular,539188480,IBGE
source,regular,539188481,IBGE
source,regular,539188482,IBGE
source,regular,539188565,IBGE
source,regular,539188566,IBGE
source,regular,539188592,IBGE
source,regular,539188593,IBGE
